ts,evento_id,evento,mercado,punto,casa,seleccion,decimal
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,Bovada,Boston Red Sox,1.0500
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,Bovada,Cleveland Guardians,10.0000
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,BetMGM,Boston Red Sox,1.0100
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,BetMGM,Cleveland Guardians,34.0000
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,DraftKings,Boston Red Sox,1.0100
2026-09-24T01:58:48+00:00,c2e9498aaeb076eb5c7ec70719c85b49,Boston Red Sox vs Cleveland Guardians,h2h,,DraftKings,Cleveland Guardians,14.2000
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,FanDuel,Atlanta Braves,1.1400
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,FanDuel,Cincinnati Reds,5.4000
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,Bovada,Atlanta Braves,1.1800
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,Bovada,Cincinnati Reds,4.5000
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,BetMGM,Atlanta Braves,1.1600
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,BetMGM,Cincinnati Reds,5.2500
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,DraftKings,Atlanta Braves,1.1400
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,DraftKings,Cincinnati Reds,5.4600
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,BetRivers,Atlanta Braves,1.1400
2026-09-24T01:58:48+00:00,24e2844ddd06b300f6491b2912fa652c,Atlanta Braves vs Cincinnati Reds,h2h,,BetRivers,Cincinnati Reds,4.9000
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,FanDuel,Chicago Cubs,2.9600
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,FanDuel,Miami Marlins,1.3800
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,MyBookie.ag,Chicago Cubs,2.5500
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,MyBookie.ag,Miami Marlins,1.5000
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,Bovada,Chicago Cubs,3.0000
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,Bovada,Miami Marlins,1.3600
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,BetMGM,Chicago Cubs,2.9500
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,BetMGM,Miami Marlins,1.4000
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,DraftKings,Chicago Cubs,2.6400
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,DraftKings,Miami Marlins,1.4600
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,BetRivers,Chicago Cubs,2.8500
2026-09-24T01:58:48+00:00,abd20077e0d7c1491fcc361d264cbc3d,Chicago Cubs vs Miami Marlins,h2h,,BetRivers,Miami Marlins,1.3600
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,FanDuel,Chicago White Sox,6.0000
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,FanDuel,Kansas City Royals,1.1200
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,MyBookie.ag,Chicago White Sox,6.2500
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,MyBookie.ag,Kansas City Royals,1.1200
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,Bovada,Chicago White Sox,5.7500
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,Bovada,Kansas City Royals,1.1200
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,BetMGM,Chicago White Sox,6.7500
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,BetMGM,Kansas City Royals,1.1000
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,DraftKings,Chicago White Sox,5.8500
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,DraftKings,Kansas City Royals,1.1200
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,BetRivers,Chicago White Sox,5.4000
2026-09-24T01:58:48+00:00,67a95b403897bde4e3f38d5448f9c94c,Kansas City Royals vs Chicago White Sox,h2h,,BetRivers,Kansas City Royals,1.1200
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,FanDuel,New York Mets,2.3200
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,FanDuel,Texas Rangers,1.5900
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,MyBookie.ag,New York Mets,2.0500
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,MyBookie.ag,Texas Rangers,1.7500
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,BetMGM,New York Mets,2.4500
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,BetMGM,Texas Rangers,1.5400
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,Bovada,New York Mets,2.3000
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,Bovada,Texas Rangers,1.5900
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,DraftKings,New York Mets,2.2900
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,DraftKings,Texas Rangers,1.5900
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,BetRivers,New York Mets,2.2300
2026-09-24T01:58:48+00:00,6ae37d18d4a5fb4d9c92a8aee3f54186,Texas Rangers vs New York Mets,h2h,,BetRivers,Texas Rangers,1.5700
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,FanDuel,Arizona Diamondbacks,1.2200
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,FanDuel,Colorado Rockies,4.2000
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,MyBookie.ag,Arizona Diamondbacks,1.2500
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,MyBookie.ag,Colorado Rockies,3.9500
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,Bovada,Arizona Diamondbacks,1.1700
2026-09-24T01:58:48+00:00,4e1d4c17ae27eeb2388a146c248b5fb6,Colorado Rockies vs Arizona Diamondbacks,h2h,,Bovada,Colorado Rockies,4.7500
