ts,evento_id,evento,mercado,punto,casa,seleccion,decimal
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,FanDuel,New York Mets,1.8900
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,FanDuel,Washington Nationals,1.9600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,DraftKings,New York Mets,1.8500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,DraftKings,Washington Nationals,1.9800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetMGM,New York Mets,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetMGM,Washington Nationals,1.9500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetOnline.ag,New York Mets,1.9200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetOnline.ag,Washington Nationals,1.9900
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,LowVig.ag,New York Mets,1.9200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,LowVig.ag,Washington Nationals,1.9900
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetUS,New York Mets,1.9200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetUS,Washington Nationals,1.9900
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetRivers,New York Mets,1.8200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,BetRivers,Washington Nationals,2.0200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,MyBookie.ag,New York Mets,1.8500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,MyBookie.ag,Washington Nationals,2.0000
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,Bovada,New York Mets,1.8600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,h2h,,Bovada,Washington Nationals,1.9600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,FanDuel,New York Mets -1.5,2.3400
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,FanDuel,Washington Nationals +1.5,1.6200
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,DraftKings,New York Mets -1.5,2.3600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,DraftKings,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,BetMGM,New York Mets -1.5,2.3500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,BetMGM,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,BetOnline.ag,New York Mets -1.5,2.4500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,BetOnline.ag,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,LowVig.ag,New York Mets -1.5,2.4600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,LowVig.ag,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,BetUS,New York Mets -1.5,2.4400
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,BetUS,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,BetRivers,New York Mets -1.5,2.2500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,BetRivers,Washington Nationals +1.5,1.6600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,MyBookie.ag,New York Mets -1.5,2.4700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,MyBookie.ag,Washington Nationals +1.5,1.5800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,-1.5,Bovada,New York Mets -1.5,2.4000
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,spreads,1.5,Bovada,Washington Nationals +1.5,1.6100
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,FanDuel,Over +8.5,1.9400
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,FanDuel,Under +8.5,1.8800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,DraftKings,Over +8.5,1.9600
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,DraftKings,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetMGM,Over +8.5,1.9500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetMGM,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetOnline.ag,Over +8.5,1.9500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetOnline.ag,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,LowVig.ag,Over +8.5,1.9800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,LowVig.ag,Under +8.5,1.8800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetUS,Over +8.5,1.9500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetUS,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetRivers,Over +8.5,1.9400
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,BetRivers,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,MyBookie.ag,Over +8.5,1.9300
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,MyBookie.ag,Under +8.5,1.8800
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,Bovada,Over +8.5,1.9500
2026-09-26T14:04:41+00:00,287e49b158c6a0b40e1ca1a98f81cee8,Washington Nationals vs New York Mets,totals,8.5,Bovada,Under +8.5,1.8700
2026-09-26T14:04:41+00:00,f6f4976b029249f664cf53c32044f64a,Detroit Tigers vs Pittsburgh Pirates,h2h,,FanDuel,Detroit Tigers,1.8900
2026-09-26T14:04:41+00:00,f6f4976b029249f664cf53c32044f64a,Detroit Tigers vs Pittsburgh Pirates,h2h,,FanDuel,Pittsburgh Pirates,1.9600
2026-09-26T14:04:41+00:00,f6f4976b029249f664cf53c32044f64a,Detroit Tigers vs Pittsburgh Pirates,h2h,,MyBookie.ag,Detroit Tigers,1.8800
2026-09-26T14:04:41+00:00,f6f4976b029249f664cf53c32044f64a,Detroit Tigers vs Pittsburgh Pirates,h2h,,MyBookie.ag,Pittsburgh Pirates,1.9700
2026-09-26T14:04:41+00:00,f6f4976b029249f664cf53c32044f64a,Detroit Tigers vs Pittsburgh Pirates,h2h,,DraftKings,Detroit Tigers,1.9100
