ts,evento_id,evento,mercado,punto,casa,seleccion,decimal
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,FanDuel,Boston Red Sox,2.0800
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,FanDuel,Chicago Cubs,1.7900
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,MyBookie.ag,Boston Red Sox,2.0400
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,MyBookie.ag,Chicago Cubs,1.8200
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetOnline.ag,Boston Red Sox,2.0900
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetOnline.ag,Chicago Cubs,1.8300
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,LowVig.ag,Boston Red Sox,2.0900
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,LowVig.ag,Chicago Cubs,1.8300
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,Bovada,Boston Red Sox,2.0700
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,Bovada,Chicago Cubs,1.7800
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetMGM,Boston Red Sox,2.0500
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetMGM,Chicago Cubs,1.7700
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,DraftKings,Boston Red Sox,2.0400
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,DraftKings,Chicago Cubs,1.8000
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetRivers,Boston Red Sox,2.0800
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetRivers,Chicago Cubs,1.7800
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetUS,Boston Red Sox,2.0900
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,h2h,,BetUS,Chicago Cubs,1.8300
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,spreads,1.5,FanDuel,Boston Red Sox +1.5,1.5900
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,spreads,-1.5,FanDuel,Chicago Cubs -1.5,2.4000
2026-09-25T14:05:26+00:00,a85710fa5f6fd3a6a40fe17c4907c312,Boston Red Sox vs Chicago Cubs,spreads,1.5,MyBookie.ag,Boston Red Sox +1.5,1.5600
